agent_id,agent_age,agent_tenure,agent_status,agent_active_portfolio,agent_inactive_portfolio,time_stamp
AG_04025776,35.0,1,active,123.0,51.0,2017-01-31
AG_04348003,45.0,1,active,86.0,53.0,2017-01-31
AG_08492613,40.0,7,active,53.0,56.0,2017-01-31
AG_03247832,45.0,3,active,151.0,62.0,2017-01-31
AG_03101636,25.0,2,active,105.0,65.0,2017-01-31
AG_00388117,40.0,6,active,72.0,58.0,2017-01-31
AG_04947256,30.0,2,active,160.0,59.0,2017-01-31
AG_09917937,25.0,0,active,73.0,50.0,2017-01-31
AG_02274982,25.0,0,active,57.0,50.0,2017-01-31
AG_03524806,40.0,11,active,51.0,50.0,2017-01-31
AG_04082916,60.0,1,active,51.0,50.0,2017-01-31
AG_03118794,30.0,3,active,68.0,53.0,2017-01-31
AG_09171062,60.0,14,active,75.0,54.0,2017-01-31
AG_09785129,35.0,1,active,57.0,50.0,2017-01-31
AG_02454893,55.0,10,active,77.0,55.0,2017-01-31
AG_04227317,30.0,1,active,100.0,50.0,2017-01-31
AG_08900319,30.0,1,active,94.0,55.0,2017-01-31
AG_01168156,35.0,3,active,132.0,62.0,2017-01-31
AG_08356144,50.0,12,active,109.0,62.0,2017-01-31
AG_05188175,25.0,1,active,80.0,59.0,2017-01-31
AG_08509905,35.0,1,active,54.0,50.0,2017-01-31
AG_02963686,40.0,1,active,72.0,61.0,2017-01-31
AG_04514150,40.0,6,active,245.0,93.0,2017-01-31
AG_02013093,55.0,3,active,52.0,50.0,2017-01-31
AG_07820092,30.0,0,active,56.0,50.0,2017-01-31
AG_03023934,25.0,1,active,139.0,51.0,2017-01-31
AG_03000549,60.0,10,active,88.0,57.0,2017-01-31
AG_09942989,25.0,0,active,78.0,50.0,2017-01-31
AG_04587866,35.0,0,active,51.0,50.0,2017-01-31
AG_02095266,40.0,7,active,64.0,52.0,2017-01-31
AG_06344202,50.0,0,active,59.0,50.0,2017-01-31
AG_04193164,-0.0,2,active,53.0,70.0,2017-01-31
AG_03137748,50.0,1,active,84.0,54.0,2017-01-31
AG_06284302,50.0,18,active,983.0,918.0,2017-01-31
AG_03326220,35.0,1,active,116.0,62.0,2017-01-31
AG_02404287,35.0,2,active,342.0,76.0,2017-01-31
AG_02884811,30.0,3,active,77.0,55.0,2017-01-31
AG_09920264,30.0,0,active,55.0,50.0,2017-01-31
AG_08042978,40.0,0,active,56.0,50.0,2017-01-31
AG_06017574,45.0,4,active,110.0,51.0,2017-01-31
AG_00802766,45.0,1,active,53.0,50.0,2017-01-31
AG_02506118,50.0,12,active,468.0,192.0,2017-01-31
AG_09345246,30.0,1,active,404.0,78.0,2017-01-31
AG_04028657,35.0,7,active,80.0,58.0,2017-01-31
AG_01784825,35.0,0,active,58.0,50.0,2017-01-31
AG_04233947,30.0,0,active,64.0,51.0,2017-01-31
AG_09883645,50.0,3,active,55.0,50.0,2017-01-31
AG_05862824,50.0,12,active,72.0,51.0,2017-01-31
AG_01465098,35.0,6,active,96.0,51.0,2017-01-31
AG_07823709,35.0,0,active,63.0,50.0,2017-01-31
AG_09133650,30.0,0,active,63.0,50.0,2017-01-31
AG_03511795,40.0,1,active,528.0,72.0,2017-01-31
AG_02084922,55.0,13,active,145.0,89.0,2017-01-31
AG_05307232,35.0,6,active,259.0,97.0,2017-01-31
AG_00665177,30.0,4,active,148.0,112.0,2017-01-31
AG_05893288,50.0,8,active,57.0,51.0,2017-01-31
AG_04852421,25.0,2,active,646.0,113.0,2017-01-31
AG_01730911,35.0,10,active,93.0,120.0,2017-01-31
AG_07347497,45.0,6,active,71.0,60.0,2017-01-31
AG_04538350,35.0,3,active,140.0,69.0,2017-01-31
AG_05554533,40.0,2,active,56.0,50.0,2017-01-31
AG_03494553,30.0,2,active,60.0,50.0,2017-01-31
AG_06502367,30.0,0,active,79.0,51.0,2017-01-31
AG_07709129,25.0,0,active,52.0,50.0,2017-01-31
AG_02557883,50.0,11,active,56.0,50.0,2017-01-31
AG_05199511,50.0,1,active,53.0,50.0,2017-01-31
AG_01008042,30.0,1,active,152.0,61.0,2017-01-31
AG_02630859,45.0,0,active,52.0,50.0,2017-01-31
AG_05860264,40.0,2,active,178.0,73.0,2017-01-31
AG_08549970,55.0,2,active,60.0,52.0,2017-01-31
AG_01943484,25.0,1,active,109.0,51.0,2017-01-31
AG_05133448,35.0,3,active,52.0,53.0,2017-01-31
AG_01479796,60.0,9,active,69.0,58.0,2017-01-31
AG_05022061,30.0,2,active,201.0,84.0,2017-01-31
AG_09058561,30.0,2,active,56.0,50.0,2017-01-31
AG_04026915,40.0,9,active,56.0,54.0,2017-01-31
AG_00818965,40.0,0,active,62.0,52.0,2017-01-31
AG_00609027,35.0,1,active,69.0,50.0,2017-01-31
AG_07977444,40.0,10,active,120.0,97.0,2017-01-31
AG_02124186,35.0,0,active,91.0,51.0,2017-01-31
AG_06969400,35.0,1,active,670.0,107.0,2017-01-31
AG_06977859,45.0,3,active,69.0,53.0,2017-01-31
AG_02198210,35.0,2,active,62.0,51.0,2017-01-31
AG_05034410,30.0,1,active,59.0,50.0,2017-01-31
AG_08850564,30.0,3,active,136.0,87.0,2017-01-31
AG_07212914,50.0,1,active,51.0,51.0,2017-01-31
AG_06978649,40.0,2,active,117.0,63.0,2017-01-31
AG_07428484,30.0,0,active,57.0,50.0,2017-01-31
AG_00601548,30.0,0,active,52.0,50.0,2017-01-31
AG_00466279,45.0,1,active,51.0,50.0,2017-01-31
AG_06941846,-0.0,13,active,59.0,54.0,2017-01-31
AG_03306258,35.0,4,active,54.0,51.0,2017-01-31
AG_01775829,45.0,1,active,70.0,51.0,2017-01-31
AG_05913513,40.0,3,active,116.0,102.0,2017-01-31
AG_01679034,35.0,1,active,86.0,54.0,2017-01-31
AG_01523748,35.0,10,active,622.0,237.0,2017-01-31
AG_02110451,30.0,1,active,74.0,52.0,2017-01-31
AG_07120620,50.0,3,active,55.0,55.0,2017-01-31
AG_04962558,30.0,1,active,89.0,52.0,2017-01-31
AG_00259020,30.0,1,active,108.0,54.0,2017-01-31
AG_05535015,45.0,4,active,57.0,51.0,2017-01-31
AG_05300989,40.0,5,active,72.0,51.0,2017-01-31
AG_09067977,35.0,0,active,90.0,56.0,2017-01-31
AG_02936602,45.0,0,active,51.0,50.0,2017-01-31
AG_03386884,30.0,1,active,127.0,52.0,2017-01-31
AG_05081826,40.0,19,active,531.0,296.0,2017-01-31
AG_06805883,35.0,1,active,216.0,60.0,2017-01-31
AG_09510527,30.0,2,active,285.0,196.0,2017-01-31
AG_09081797,30.0,2,active,88.0,52.0,2017-01-31
AG_07252263,-0.0,0,active,51.0,50.0,2017-01-31
AG_07079629,50.0,0,active,62.0,50.0,2017-01-31
AG_02200503,40.0,6,active,120.0,84.0,2017-01-31
AG_03869380,25.0,2,active,91.0,74.0,2017-01-31
AG_07708052,50.0,2,active,2719.0,204.0,2017-01-31
AG_06917831,35.0,2,active,135.0,58.0,2017-01-31
AG_06838667,45.0,1,active,86.0,53.0,2017-01-31
AG_05883965,25.0,0,active,71.0,50.0,2017-01-31
AG_03725507,35.0,6,active,96.0,64.0,2017-01-31
AG_05509147,35.0,0,active,54.0,51.0,2017-01-31
AG_08803435,35.0,1,active,87.0,50.0,2017-01-31
AG_01940312,25.0,2,active,119.0,65.0,2017-01-31
AG_01114418,35.0,2,active,73.0,50.0,2017-01-31
AG_07968409,25.0,1,active,122.0,55.0,2017-01-31
AG_07868680,45.0,1,active,58.0,50.0,2017-01-31
AG_02672628,30.0,1,active,200.0,59.0,2017-01-31
AG_09050373,55.0,6,active,88.0,80.0,2017-01-31
AG_06940954,35.0,3,active,300.0,126.0,2017-01-31
AG_00779489,40.0,2,active,295.0,90.0,2017-01-31
AG_02841162,35.0,0,active,65.0,50.0,2017-01-31
AG_07272165,40.0,11,active,129.0,213.0,2017-01-31
AG_09082636,60.0,7,active,342.0,280.0,2017-01-31
AG_09635904,25.0,1,active,79.0,53.0,2017-01-31
AG_02327622,65.0,11,active,52.0,53.0,2017-01-31
AG_03379299,40.0,7,active,151.0,165.0,2017-01-31
AG_03287481,50.0,5,active,105.0,51.0,2017-01-31
AG_08087864,35.0,4,active,269.0,70.0,2017-01-31
AG_05296094,25.0,1,active,60.0,53.0,2017-01-31
AG_04502550,30.0,1,active,105.0,50.0,2017-01-31
AG_04227230,40.0,2,active,57.0,50.0,2017-01-31
AG_08222482,40.0,11,active,56.0,59.0,2017-01-31
AG_05581824,30.0,1,active,111.0,56.0,2017-01-31
AG_05052658,30.0,2,active,61.0,50.0,2017-01-31
AG_01542415,55.0,6,active,286.0,95.0,2017-01-31
AG_01533699,35.0,1,active,100.0,60.0,2017-01-31
AG_00685839,30.0,1,active,86.0,51.0,2017-01-31
AG_08598602,55.0,1,active,53.0,50.0,2017-01-31
AG_05113353,55.0,14,active,185.0,130.0,2017-01-31
AG_08129194,45.0,2,active,132.0,84.0,2017-01-31
AG_01086983,40.0,10,active,127.0,154.0,2017-01-31
AG_09770017,30.0,3,active,223.0,94.0,2017-01-31
AG_09390812,40.0,5,active,122.0,54.0,2017-01-31
AG_05059246,-0.0,0,active,54.0,50.0,2017-01-31
AG_03705765,40.0,11,active,65.0,61.0,2017-01-31
AG_05879157,40.0,3,inactive,52.0,50.0,2017-01-31
AG_08429383,35.0,3,active,97.0,82.0,2017-01-31
AG_02729024,30.0,1,active,129.0,81.0,2017-01-31
AG_09383071,30.0,3,active,222.0,73.0,2017-01-31
AG_03861506,35.0,1,active,80.0,51.0,2017-01-31
AG_07913815,35.0,0,active,124.0,53.0,2017-01-31
AG_06406129,40.0,3,active,75.0,51.0,2017-01-31
AG_07933103,30.0,0,active,78.0,53.0,2017-01-31
AG_04692038,25.0,0,active,52.0,50.0,2017-01-31
AG_03739585,35.0,3,active,75.0,56.0,2017-01-31
AG_08575954,50.0,2,active,54.0,50.0,2017-01-31
AG_03019156,30.0,0,active,52.0,50.0,2017-01-31
AG_09058710,35.0,1,inactive,51.0,50.0,2017-01-31
AG_03848464,40.0,4,active,107.0,63.0,2017-01-31
AG_00081310,35.0,3,active,318.0,81.0,2017-01-31
AG_01680518,35.0,8,active,174.0,66.0,2017-01-31
AG_04339835,55.0,9,active,924.0,139.0,2017-01-31
