policy_id,last_policy_status,last_termination_dt,time_stamp
P_04386130,active,,2018-01-31
P_06849684,cancelled,2017-03-31,2018-01-31
P_04641948,active,,2018-01-31
P_04704943,cancelled,2017-05-31,2018-01-31
P_02462861,active,,2018-01-31
P_09372154,active,,2018-01-31
P_00662148,cancelled,2017-03-31,2018-01-31
P_01697856,active,,2018-01-31
P_04590438,active,,2018-01-31
P_08815761,active,,2018-01-31
P_02934296,active,,2018-01-31
P_00632138,active,,2018-01-31
P_00596773,active,,2018-01-31
P_03596122,cancelled,2017-04-30,2018-01-31
P_09917002,active,,2018-01-31
P_06208976,active,,2018-01-31
P_09461434,active,,2018-01-31
P_00007220,active,,2018-01-31
P_04309382,active,,2018-01-31
P_07754506,cancelled,2017-03-31,2018-01-31
P_06369553,active,,2018-01-31
P_05545628,cancelled,2017-06-30,2018-01-31
P_05683967,active,,2018-01-31
P_07246097,active,,2018-01-31
P_06717104,active,,2018-01-31
P_04265065,active,,2018-01-31
P_07241147,active,,2018-01-31
P_02939721,active,,2018-01-31
P_01472259,active,,2018-01-31
P_07217642,active,,2018-01-31
P_05422064,active,,2018-01-31
P_09174644,active,,2018-01-31
P_07312634,active,,2018-01-31
P_06671025,active,,2018-01-31
P_04683388,active,,2018-01-31
P_04643032,active,,2018-01-31
P_08039836,active,,2018-01-31
P_08027996,active,,2018-01-31
P_01237283,active,,2018-01-31
P_06891800,active,,2018-01-31
P_06951485,active,,2018-01-31
P_00071731,cancelled,2017-12-31,2018-01-31
P_09503380,active,,2018-01-31
P_09219778,active,,2018-01-31
P_09175285,active,,2018-01-31
P_09728949,cancelled,2017-09-30,2018-01-31
P_05192689,active,,2018-01-31
P_02714544,active,,2018-01-31
P_01108869,cancelled,2017-08-31,2018-01-31
P_00496914,active,,2018-01-31
P_09539966,active,,2018-01-31
P_09407601,active,,2018-01-31
P_07623395,active,,2018-01-31
P_02096921,active,,2018-01-31
P_04693035,active,,2018-01-31
P_04784123,active,,2018-01-31
P_03975313,active,,2018-01-31
P_09022614,active,,2018-01-31
P_05807173,active,,2018-01-31
P_00814680,active,,2018-01-31
P_09320312,cancelled,2017-09-30,2018-01-31
P_09369412,active,,2018-01-31
P_03779640,active,,2018-01-31
P_03593063,active,,2018-01-31
P_07947338,active,,2018-01-31
P_05666396,active,,2018-01-31
P_09649161,active,,2018-01-31
P_05508203,active,,2018-01-31
P_04346875,active,,2018-01-31
P_06372907,active,,2018-01-31
P_04380351,active,,2018-01-31
P_06068609,active,,2018-01-31
P_00644950,active,,2018-01-31
P_05580745,active,,2018-01-31
P_00086457,cancelled,,2018-01-31
P_04789174,active,,2018-01-31
P_06966630,active,,2018-01-31
P_03417531,cancelled,2017-10-31,2018-01-31
P_05060204,active,,2018-01-31
P_00335583,active,,2018-01-31
P_01554177,cancelled,,2018-01-31
P_03034562,active,,2018-01-31
P_08271307,active,,2018-01-31
P_04386498,active,,2018-01-31
P_07931412,active,,2018-01-31
P_05250593,active,,2018-01-31
P_02396275,active,,2018-01-31
P_06049220,active,,2018-01-31
P_02462648,cancelled,2017-07-31,2018-01-31
P_00298388,active,,2018-01-31
P_00899944,active,,2018-01-31
P_09410283,active,,2018-01-31
P_09907356,active,,2018-01-31
P_07252125,active,,2018-01-31
P_05858562,active,,2018-01-31
P_00392879,active,,2018-01-31
P_09536620,active,,2018-01-31
P_07689374,active,,2018-01-31
P_03549232,active,,2018-01-31
P_08234819,cancelled,2018-01-31,2018-01-31
P_07059522,active,,2018-01-31
P_04063147,active,,2018-01-31
P_05347445,active,,2018-01-31
P_03011281,active,,2018-01-31
P_01962387,cancelled,2017-07-31,2018-01-31
P_08281789,active,,2018-01-31
P_07440730,cancelled,2017-05-31,2018-01-31
P_06957885,active,,2018-01-31
P_03387348,active,,2018-01-31
P_08090934,active,,2018-01-31
P_02807763,active,,2018-01-31
P_07407863,cancelled,2017-03-31,2018-01-31
P_09301269,active,,2018-01-31
P_06652450,active,,2018-01-31
P_02448364,active,,2018-01-31
P_03965753,active,,2018-01-31
P_08061267,active,,2018-01-31
P_03819371,active,,2018-01-31
P_03124118,active,,2018-01-31
P_09311157,cancelled,2017-12-31,2018-01-31
P_03844328,active,,2018-01-31
P_06444104,active,,2018-01-31
P_05382066,active,,2018-01-31
P_01451944,active,,2018-01-31
P_07295191,cancelled,2017-09-30,2018-01-31
P_08942687,active,,2018-01-31
P_04208033,active,,2018-01-31
P_04338803,active,,2018-01-31
P_09454690,active,,2018-01-31
P_02089636,active,,2018-01-31
P_09114872,active,,2018-01-31
P_03862888,active,,2018-01-31
